tract,Name,Population_Density_in_2010
E05000221,Greenwich,"11,430"
E05000222,Greenwich,"7,994"
E05000223,Greenwich,"6,320"
E05000224,Greenwich,"4,151"
E05000225,Greenwich,"4,653"
E05000226,Greenwich,"7,718"
E05000227,Greenwich,"3,645"
E05000228,Greenwich,"4,309"
E05000229,Greenwich,"8,087"
E05000230,Greenwich,"6,838"
E05000231,Hackney,"17,491"
E05000232,Hackney,"21,471"
E05000233,Hackney,"16,974"
E05000234,Hackney,"18,744"
E05000235,Hackney,"18,020"
E05000236,Hackney,"18,773"
E05000237,Hackney,"18,655"
E05000238,Hackney,"13,739"
E05000239,Hackney,"13,957"
E05000240,Hackney,"21,408"
E05000241,Hackney,"6,869"
E05000242,Hackney,"14,633"
E05000243,Hackney,"11,484"
E05000244,Hackney,"16,386"
E05000245,Hackney,"13,769"
E05000246,Hackney,"14,161"
E05000247,Hackney,"18,646"
E05000248,Hackney,"17,740"
E05000249,Hackney,"7,849"
E05000250,Hammersmith and Fulham,"20,197"
E05000251,Hammersmith and Fulham,"19,082"
E05000252,Hammersmith and Fulham,"13,132"
E05000253,Hammersmith and Fulham,"2,653"
E05000254,Hammersmith and Fulham,"17,609"
E05000255,Hammersmith and Fulham,"13,057"
E05000256,Hammersmith and Fulham,"11,551"
E05000257,Hammersmith and Fulham,"17,480"
E05000258,Hammersmith and Fulham,"17,393"
E05000259,Hammersmith and Fulham,"4,947"
E05000260,Hammersmith and Fulham,"12,295"
E05000261,Hammersmith and Fulham,"8,783"
E05000262,Hammersmith and Fulham,"10,310"
E05000263,Hammersmith and Fulham,"11,175"
E05000264,Hammersmith and Fulham,"16,815"
E05000265,Hammersmith and Fulham,"14,808"
E05000266,Haringey,"4,897"
E05000267,Haringey,"10,979"
E05000268,Haringey,"16,675"
E05000269,Haringey,"9,543"
E05000270,Haringey,"7,026"
E05000271,Haringey,"9,487"
E05000272,Haringey,"5,210"
E05000273,Haringey,"12,785"
E05000274,Haringey,"7,438"
E05000275,Haringey,"12,607"
E05000276,Haringey,"8,887"
E05000277,Haringey,"14,643"
E05000278,Haringey,"13,843"
E05000279,Haringey,"11,724"
E05000280,Haringey,"12,570"
E05000281,Haringey,"9,797"
E05000282,Haringey,"10,454"
E05000283,Haringey,"8,145"
