"tract","Name","Population_Density_in_2010"
E05000259,Hammersmith and Fulham,4947
E05000260,Hammersmith and Fulham,12295
E05000261,Hammersmith and Fulham,8783
E05000262,Hammersmith and Fulham,10310
E05000263,Hammersmith and Fulham,11175
E05000264,Hammersmith and Fulham,16815
E05000265,Hammersmith and Fulham,14808
E05000266,Haringey,4897
E05000267,Haringey,10979
E05000268,Haringey,16675
E05000269,Haringey,9543
E05000270,Haringey,7026
E05000271,Haringey,9487
E05000272,Haringey,5210
E05000273,Haringey,12785
E05000274,Haringey,7438
E05000275,Haringey,12607
E05000276,Haringey,8887
E05000277,Haringey,14643
E05000278,Haringey,13843
E05000279,Haringey,11724
E05000280,Haringey,12570
E05000281,Haringey,9797
E05000282,Haringey,10454
E05000283,Haringey,8145
E05000284,Haringey,10801
E05000285,Harrow,6555
E05000286,Harrow,2601
E05000287,Harrow,9506
E05000288,Harrow,9260
E05000289,Harrow,3707
E05000290,Harrow,2572
E05000291,Harrow,3322
E05000292,Harrow,3309
E05000293,Harrow,8259
E05000294,Harrow,8691
E05000295,Harrow,6521
E05000296,Harrow,7921
E05000297,Harrow,3177
E05000298,Harrow,4591
E05000299,Harrow,7680
E05000300,Harrow,7475
E05000301,Harrow,8690
E05000302,Harrow,7413
E05000303,Harrow,2727
E05000304,Harrow,10515
E05000305,Harrow,6886
E05000306,Havering,4526
E05000307,Havering,2003
E05000308,Havering,3650
E05000309,Havering,2673
E05000310,Havering,2121
E05000311,Havering,5095
E05000312,Havering,1945
E05000313,Havering,1385
E05000314,Havering,4184
E05000315,Havering,4611
E05000316,Havering,4444
E05000317,Havering,3443
E05000318,Havering,778
E05000319,Havering,6114
E05000320,Havering,5138
E05000321,Havering,2261
E05000322,Havering,5361
E05000323,Havering,589
E05000324,Hillingdon,6747
E05000325,Hillingdon,4669
E05000326,Hillingdon,4459
E05000327,Hillingdon,6195
E05000328,Hillingdon,4456
E05000329,Hillingdon,3584
E05000330,Hillingdon,522
E05000331,Hillingdon,588
E05000332,Hillingdon,3852
E05000333,Hillingdon,1785
E05000334,Hillingdon,6212
E05000335,Hillingdon,1533
E05000336,Hillingdon,3755
E05000337,Hillingdon,5937
E05000338,Hillingdon,1822
E05000339,Hillingdon,4670
E05000340,Hillingdon,3271
E05000341,Hillingdon,4998
E05000342,Hillingdon,5362
E05000343,Hillingdon,2788
E05000344,Hillingdon,6387
E05000345,Hillingdon,3693
E05000346,Hounslow,3083
E05000347,Hounslow,5770
E05000348,Hounslow,5421
E05000349,Hounslow,5892
E05000350,Hounslow,4969
E05000351,Hounslow,3493
E05000352,Hounslow,5072
E05000353,Hounslow,3852
E05000354,Hounslow,3390
E05000355,Hounslow,7848
E05000356,Hounslow,6593
E05000357,Hounslow,3515
E05000358,Hounslow,10271
E05000359,Hounslow,5607
E05000360,Hounslow,6825
E05000361,Hounslow,9240
E05000362,Hounslow,6330
E05000363,Hounslow,2246
E05000364,Hounslow,5447
E05000365,Hounslow,6865
E05000366,Islington,16681
E05000367,Islington,16752
E05000368,Islington,14181
E05000369,Islington,16596
E05000370,Islington,13553
E05000371,Islington,18144
E05000372,Islington,13720
E05000373,Islington,17292
E05000374,Islington,16156
E05000375,Islington,16853
E05000376,Islington,12952
E05000377,Islington,17591
E05000378,Islington,16095
E05000379,Islington,15305
E05000380,Islington,18754
E05000381,Islington,17218
E05000382,Kensington and Chelsea,17320
E05000383,Kensington and Chelsea,9504
E05000384,Kensington and Chelsea,9225
E05000385,Kensington and Chelsea,20762
E05000386,Kensington and Chelsea,17697
E05000387,Kensington and Chelsea,12863
E05000388,Kensington and Chelsea,21573
E05000389,Kensington and Chelsea,9768
E05000390,Kensington and Chelsea,15737
E05000391,Kensington and Chelsea,9478
E05000392,Kensington and Chelsea,11799
E05000393,Kensington and Chelsea,15035
E05000394,Kensington and Chelsea,15400
E05000395,Kensington and Chelsea,16048
E05000396,Kensington and Chelsea,13396
E05000397,Kensington and Chelsea,8006
E05000398,Kensington and Chelsea,12735
E05000399,Kensington and Chelsea,12039
E05000400,Kingston upon Thames,3817
E05000401,Kingston upon Thames,7355
E05000402,Kingston upon Thames,6074
E05000403,Kingston upon Thames,12765
E05000404,Kingston upon Thames,4826
E05000405,Kingston upon Thames,1470
E05000406,Kingston upon Thames,2570
E05000407,Kingston upon Thames,6359
E05000408,Kingston upon Thames,6598
E05000409,Kingston upon Thames,8450
E05000410,Kingston upon Thames,5673
E05000411,Kingston upon Thames,4466
E05000412,Kingston upon Thames,8956
E05000413,Kingston upon Thames,6962
E05000414,Kingston upon Thames,4219
E05000415,Kingston upon Thames,6554
E05000416,Lambeth,6714
E05000417,Lambeth,15049
E05000418,Lambeth,10469
E05000419,Lambeth,13724
E05000420,Lambeth,14950
E05000421,Lambeth,20537
E05000422,Lambeth,9497
E05000423,Lambeth,8132
E05000424,Lambeth,10569
E05000425,Lambeth,18520
E05000426,Lambeth,13567
E05000427,Lambeth,14002
E05000428,Lambeth,11260
E05000429,Lambeth,18412
E05000430,Lambeth,12575
E05000431,Lambeth,8656
E05000432,Lambeth,11728
E05000433,Lambeth,13304
E05000434,Lambeth,9572
E05000435,Lambeth,15988
E05000436,Lambeth,14917
E05000437,Lewisham,5228
E05000438,Lewisham,6677
E05000439,Lewisham,11342
E05000440,Lewisham,8449
E05000441,Lewisham,9131
E05000442,Lewisham,6450
E05000443,Lewisham,12607
E05000444,Lewisham,9085
E05000445,Lewisham,6522
E05000446,Lewisham,9475
E05000447,Lewisham,8783
E05000448,Lewisham,11733
E05000449,Lewisham,10357
E05000450,Lewisham,9888
E05000451,Lewisham,9800
E05000452,Lewisham,9591
E05000453,Lewisham,11503
E05000454,Lewisham,6958
E05000455,Merton,7751
E05000456,Merton,4320
E05000457,Merton,10159
